year,slug_game,country_3_letter_code_x,bronze_medals,gold_medals,silver_medals,total_medals,total_athletes,avg_age_athletes,medals_in_current_year,city,season,game_name,cumulative_medals,is_host
2008,beijing-2008,AFG,1,0,0,1,2,22.5,1,China,Summer,Beijing 2008,0.0,0
2012,london-2012,AFG,1,0,0,1,4,25.0,1,Great Britain,Summer,London 2012,1.0,0
1988,seoul-1988,AHO,0,0,1,1,3,25.25,1,Republic of Korea,Summer,Seoul 1988,2.0,0
1984,los-angeles-1984,ALG,2,0,0,2,11,25.818181818181817,2,United States,Summer,Los Angeles 1984,1.0,0
1992,barcelona-1992,ALG,1,1,0,2,22,24.136363636363637,2,Spain,Summer,Barcelona 1992,2.0,0
1996,atlanta-1996,ALG,1,2,0,3,25,23.464285714285715,3,United States,Summer,Atlanta 1996,4.0,0
2000,sydney-2000,ALG,3,1,1,5,33,24.91176470588235,5,Australia,Summer,Sydney 2000,7.0,0
2008,beijing-2008,ALG,1,0,1,2,39,25.46153846153846,2,China,Summer,Beijing 2008,12.0,0
2012,london-2012,ALG,0,1,0,1,24,25.0,1,Great Britain,Summer,London 2012,14.0,0
2016,rio-2016,ALG,0,0,2,2,35,26.263157894736842,2,Brazil,Summer,Rio 2016,15.0,0
1908,london-1908,ANZ,2,1,2,5,12,18.8,5,Great Britain,Summer,London 1908,17.0,0
1912,stockholm-1912,ANZ,3,2,2,7,15,25.214285714285715,7,Sweden,Summer,Stockholm 1912,5.0,0
1924,paris-1924,ARG,2,1,3,6,39,25.764705882352942,6,France,Summer,Paris 1924,12.0,0
1928,amsterdam-1928,ARG,1,3,3,7,32,21.714285714285715,7,Netherlands,Summer,Amsterdam 1928,6.0,0
1932,los-angeles-1932,ARG,0,3,1,4,27,26.72222222222222,4,United States,Summer,Los Angeles 1932,13.0,0
1936,berlin-1936,ARG,4,2,2,8,19,27.09090909090909,8,Germany,Summer,Berlin 1936,17.0,0
1948,london-1948,ARG,1,3,3,7,80,27.657894736842106,7,Great Britain,Summer,London 1948,25.0,0
1952,helsinki-1952,ARG,2,2,2,6,56,28.01492537313433,6,Finland,Summer,Helsinki 1952,32.0,0
1956,melbourne-1956,ARG,1,0,1,2,22,26.238095238095237,2,"Australia, Sweden",Summer,Melbourne 1956,38.0,0
1960,rome-1960,ARG,1,0,1,2,38,28.73170731707317,2,Italy,Summer,Rome 1960,40.0,0
1964,tokyo-1964,ARG,0,0,1,1,45,28.775510204081634,1,Japan,Summer,Tokyo 1964,42.0,0
1968,mexico-city-1968,ARG,2,0,0,2,38,25.46511627906977,2,Mexico,Summer,Mexico City 1968,43.0,0
1972,munich-1972,ARG,0,0,1,1,34,30.0,1,Federal Republic of Germany,Summer,Munich 1972,45.0,0
1988,seoul-1988,ARG,1,0,1,2,29,26.243243243243242,2,Republic of Korea,Summer,Seoul 1988,46.0,0
1992,barcelona-1992,ARG,2,0,0,2,43,25.4375,2,Spain,Summer,Barcelona 1992,48.0,0
1996,atlanta-1996,ARG,1,0,2,3,59,25.67142857142857,3,United States,Summer,Atlanta 1996,50.0,0
2000,sydney-2000,ARG,3,0,2,5,58,24.415384615384614,5,Australia,Summer,Sydney 2000,53.0,0
2004,athens-2004,ARG,6,2,0,8,50,27.365079365079364,8,Greece,Summer,Athens 2004,58.0,0
2008,beijing-2008,ARG,5,3,0,8,44,28.784313725490197,8,China,Summer,Beijing 2008,66.0,0
2012,london-2012,ARG,3,1,1,5,42,28.333333333333332,5,Great Britain,Summer,London 2012,74.0,0
2016,rio-2016,ARG,0,4,1,5,60,28.417910447761194,5,Brazil,Summer,Rio 2016,79.0,0
2020,tokyo-2020,ARG,2,0,1,3,44,30.195652173913043,3,Japan,Summer,Tokyo 2020,84.0,0
1996,atlanta-1996,ARM,0,1,1,2,30,24.428571428571427,2,United States,Summer,Atlanta 1996,87.0,0
2000,sydney-2000,ARM,1,0,0,1,20,25.42105263157895,1,Australia,Summer,Sydney 2000,2.0,0
2008,beijing-2008,ARM,4,0,1,5,23,25.958333333333332,5,China,Summer,Beijing 2008,3.0,0
2012,london-2012,ARM,1,0,1,2,20,27.523809523809526,2,Great Britain,Summer,London 2012,8.0,0
2016,rio-2016,ARM,0,1,3,4,25,25.12,4,Brazil,Summer,Rio 2016,10.0,0
2020,tokyo-2020,ARM,2,0,2,4,14,27.333333333333332,4,Japan,Summer,Tokyo 2020,14.0,0
1896,athens-1896,AUS,0,2,0,2,1,23.0,2,Greece,Summer,Athens 1896,18.0,0
1900,paris-1900,AUS,3,2,0,5,2,21.714285714285715,5,France,Summer,Paris 1900,2.0,0
1904,st-louis-1904,AUS,1,0,3,4,3,,4,United States,Summer,St. Louis 1904,7.0,0
1920,antwerp-1920,AUS,1,0,2,3,8,26.5,3,Belgium,Summer,Antwerp 1920,11.0,0
1924,paris-1924,AUS,2,3,1,6,17,25.333333333333332,6,France,Summer,Paris 1924,14.0,0
1928,amsterdam-1928,AUS,1,1,2,4,11,24.333333333333332,4,Netherlands,Summer,Amsterdam 1928,20.0,0
1932,los-angeles-1932,AUS,1,3,1,5,11,24.0,5,United States,Summer,Los Angeles 1932,24.0,0
1936,berlin-1936,AUS,1,0,0,1,16,23.4375,1,Germany,Summer,Berlin 1936,29.0,0
1948,london-1948,AUS,5,2,6,13,42,22.565217391304348,13,Great Britain,Summer,London 1948,30.0,0
1952,helsinki-1952,AUS,3,7,2,12,42,25.27906976744186,12,Finland,Summer,Helsinki 1952,43.0,0
1956,melbourne-1956,AUS,16,14,9,39,133,24.38961038961039,39,"Australia, Sweden",Summer,Melbourne 1956,55.0,0
1960,rome-1960,AUS,6,8,8,22,81,24.40625,22,Italy,Summer,Rome 1960,94.0,0
1964,tokyo-1964,AUS,10,6,2,18,103,25.221153846153847,18,Japan,Summer,Tokyo 1964,116.0,0
1968,mexico-city-1968,AUS,5,5,7,17,62,23.82608695652174,17,Mexico,Summer,Mexico City 1968,134.0,0
1972,munich-1972,AUS,2,9,7,18,54,23.328125,18,Federal Republic of Germany,Summer,Munich 1972,151.0,0
1976,montreal-1976,AUS,5,0,1,6,61,26.126984126984127,6,Canada,Summer,Montreal 1976,169.0,0
1980,moscow-1980,AUS,5,2,2,9,61,23.0375,9,USSR,Summer,Moscow 1980,175.0,0
1984,los-angeles-1984,AUS,14,4,8,26,114,24.098484848484848,26,United States,Summer,Los Angeles 1984,184.0,0
1988,seoul-1988,AUS,7,3,6,16,115,25.39568345323741,16,Republic of Korea,Summer,Seoul 1988,210.0,0
1992,barcelona-1992,AUS,13,8,9,30,116,25.057142857142857,30,Spain,Summer,Barcelona 1992,226.0,0
1994,lillehammer-1994,AUS,1,0,0,1,19,25.416666666666668,1,Norway,Winter,Lillehammer 1994,256.0,0
1996,atlanta-1996,AUS,29,11,11,51,178,26.466019417475728,51,United States,Summer,Atlanta 1996,257.0,0
1998,nagano-1998,AUS,1,0,0,1,13,28.238095238095237,1,Japan,Winter,Nagano 1998,308.0,0
2000,sydney-2000,AUS,20,20,29,69,222,26.898832684824903,69,Australia,Summer,Sydney 2000,309.0,1
2002,salt-lake-city-2002,AUS,0,2,0,2,22,25.45945945945946,2,United States,Winter,Salt Lake City 2002,378.0,0
2004,athens-2004,AUS,20,19,17,56,169,26.653465346534652,56,Greece,Summer,Athens 2004,380.0,0
2006,turin-2006,AUS,1,1,0,2,32,26.444444444444443,2,Italy,Winter,Turin 2006,436.0,0
2008,beijing-2008,AUS,17,18,17,52,175,26.502392344497608,52,China,Summer,Beijing 2008,438.0,0
2010,vancouver-2010,AUS,0,2,1,3,33,26.1,3,Canada,Winter,Vancouver 2010,490.0,0
2012,london-2012,AUS,13,10,17,40,174,26.775,40,Great Britain,Summer,London 2012,493.0,0
2014,sochi-2014,AUS,1,0,2,3,51,24.112676056338028,3,Russian Federation,Winter,Sochi 2014,533.0,0
2016,rio-2016,AUS,12,8,14,34,178,27.3444976076555,34,Brazil,Summer,Rio 2016,536.0,0
2018,pyeongchang-2018,AUS,1,0,2,3,44,26.482758620689655,3,Republic of Korea,Winter,PyeongChang 2018,570.0,0
2020,tokyo-2020,AUS,23,19,8,50,171,27.614973262032084,50,Japan,Summer,Tokyo 2020,573.0,0
2022,beijing-2022,AUS,1,1,2,4,40,26.406779661016948,4,China,Winter,Beijing 2022,623.0,0
1896,athens-1896,AUT,2,2,1,5,3,22.22222222222222,5,Greece,Summer,Athens 1896,627.0,0
1900,paris-1900,AUT,3,0,3,6,11,21.333333333333332,6,France,Summer,Paris 1900,5.0,0
1904,st-louis-1904,AUT,1,1,1,3,2,27.0,3,United States,Summer,St. Louis 1904,11.0,0
1908,london-1908,AUT,1,0,0,1,14,25.133333333333333,1,Great Britain,Summer,London 1908,14.0,0
1912,stockholm-1912,AUT,2,0,3,5,41,28.289473684210527,5,Sweden,Summer,Stockholm 1912,15.0,0
1924,chamonix-1924,AUT,0,3,1,4,2,22.0,4,France,Winter,Chamonix 1924,20.0,0
1924,chamonix-1924,AUT,0,3,1,4,2,22.0,4,France,Winter,Chamonix 1924,24.0,0
1924,paris-1924,AUT,1,0,3,4,51,29.285714285714285,4,France,Summer,Paris 1924,28.0,0
1924,paris-1924,AUT,1,0,3,4,51,29.285714285714285,4,France,Summer,Paris 1924,32.0,0
1928,amsterdam-1928,AUT,2,2,0,4,27,25.692307692307693,4,Netherlands,Summer,Amsterdam 1928,36.0,0
1928,amsterdam-1928,AUT,2,2,0,4,27,25.692307692307693,6,Netherlands,Summer,Amsterdam 1928,40.0,0
1928,st-moritz-1928,AUT,2,0,4,6,14,25.05,4,Switzerland,Winter,St. Moritz 1928,46.0,0
1928,st-moritz-1928,AUT,2,0,4,6,14,25.05,6,Switzerland,Winter,St. Moritz 1928,50.0,0
1932,lake-placid-1932,AUT,0,1,1,2,5,26.285714285714285,2,United States,Winter,Lake Placid 1932,56.0,0
1932,lake-placid-1932,AUT,0,1,1,2,5,26.285714285714285,5,United States,Winter,Lake Placid 1932,58.0,0
1932,los-angeles-1932,AUT,3,1,1,5,10,26.083333333333332,2,United States,Summer,Los Angeles 1932,63.0,0
1932,los-angeles-1932,AUT,3,1,1,5,10,26.083333333333332,5,United States,Summer,Los Angeles 1932,65.0,0
1936,berlin-1936,AUT,2,4,5,11,89,27.72072072072072,11,Germany,Summer,Berlin 1936,70.0,0
1936,berlin-1936,AUT,2,4,5,11,89,27.72072072072072,5,Germany,Summer,Berlin 1936,81.0,0
1936,garmisch-partenkirchen-1936,AUT,2,1,2,5,32,22.78125,11,Germany,Winter,Garmisch-Partenkirchen 1936,86.0,0
1936,garmisch-partenkirchen-1936,AUT,2,1,2,5,32,22.78125,5,Germany,Winter,Garmisch-Partenkirchen 1936,97.0,0
1948,london-1948,AUT,3,1,0,4,66,29.602150537634408,4,Great Britain,Summer,London 1948,102.0,0
1948,london-1948,AUT,3,1,0,4,66,29.602150537634408,8,Great Britain,Summer,London 1948,106.0,0
1948,st-moritz-1948,AUT,4,1,3,8,38,27.821428571428573,4,Switzerland,Winter,St. Moritz 1948,114.0,0
1948,st-moritz-1948,AUT,4,1,3,8,38,27.821428571428573,8,Switzerland,Winter,St. Moritz 1948,118.0,0
1952,helsinki-1952,AUT,2,0,1,3,54,25.595238095238095,3,Finland,Summer,Helsinki 1952,126.0,0
1952,helsinki-1952,AUT,2,0,1,3,54,25.595238095238095,8,Finland,Summer,Helsinki 1952,129.0,0
1952,oslo-1952,AUT,2,2,4,8,30,24.39622641509434,3,Norway,Winter,Oslo 1952,137.0,0
1952,oslo-1952,AUT,2,2,4,8,30,24.39622641509434,8,Norway,Winter,Oslo 1952,140.0,0
1956,cortina-d-ampezzo-1956,AUT,4,5,3,12,31,25.466666666666665,12,Italy,Winter,Cortina d'Ampezzo 1956,148.0,0
1956,cortina-d-ampezzo-1956,AUT,4,5,3,12,31,25.466666666666665,4,Italy,Winter,Cortina d'Ampezzo 1956,160.0,0
1956,melbourne-1956,AUT,4,0,0,4,18,27.44,12,"Australia, Sweden",Summer,Melbourne 1956,164.0,0
1956,melbourne-1956,AUT,4,0,0,4,18,27.44,4,"Australia, Sweden",Summer,Melbourne 1956,176.0,0
1960,rome-1960,AUT,0,1,2,3,55,26.70909090909091,3,Italy,Summer,Rome 1960,180.0,0
1960,rome-1960,AUT,0,1,2,3,55,26.70909090909091,6,Italy,Summer,Rome 1960,183.0,0
1960,squaw-valley-1960,AUT,3,1,2,6,24,24.58974358974359,3,United States,Winter,Squaw Valley 1960,189.0,0
1960,squaw-valley-1960,AUT,3,1,2,6,24,24.58974358974359,6,United States,Winter,Squaw Valley 1960,192.0,0
1964,innsbruck-1964,AUT,3,5,6,14,51,24.823529411764707,14,Austria,Winter,Innsbruck 1964,198.0,1
1968,grenoble-1968,AUT,4,3,5,12,45,25.934426229508198,12,France,Winter,Grenoble 1968,212.0,0
1968,grenoble-1968,AUT,4,3,5,12,45,25.934426229508198,5,France,Winter,Grenoble 1968,224.0,0
1968,mexico-city-1968,AUT,3,0,2,5,28,24.857142857142858,12,Mexico,Summer,Mexico City 1968,229.0,0
1968,mexico-city-1968,AUT,3,0,2,5,28,24.857142857142858,5,Mexico,Summer,Mexico City 1968,241.0,0
1972,munich-1972,AUT,2,0,1,3,46,26.659574468085108,3,Federal Republic of Germany,Summer,Munich 1972,246.0,0
1972,munich-1972,AUT,2,0,1,3,46,26.659574468085108,5,Federal Republic of Germany,Summer,Munich 1972,249.0,0
1972,sapporo-1972,AUT,2,1,2,5,31,26.181818181818183,3,Japan,Winter,Sapporo 1972,254.0,0
1972,sapporo-1972,AUT,2,1,2,5,31,26.181818181818183,5,Japan,Winter,Sapporo 1972,257.0,0
1976,innsbruck-1976,AUT,3,2,2,7,43,23.73846153846154,7,Austria,Winter,Innsbruck 1976,262.0,1
1976,innsbruck-1976,AUT,3,2,2,7,43,23.73846153846154,1,Austria,Winter,Innsbruck 1976,269.0,1
1976,montreal-1976,AUT,1,0,0,1,37,28.305555555555557,7,Canada,Summer,Montreal 1976,270.0,0
1976,montreal-1976,AUT,1,0,0,1,37,28.305555555555557,1,Canada,Summer,Montreal 1976,277.0,0
1980,lake-placid-1980,AUT,3,3,2,8,28,22.0,8,United States,Winter,Lake Placid 1980,278.0,0
1980,lake-placid-1980,AUT,3,3,2,8,28,22.0,5,United States,Winter,Lake Placid 1980,286.0,0
1980,moscow-1980,AUT,1,1,3,5,44,26.295454545454547,8,USSR,Summer,Moscow 1980,291.0,0
1980,moscow-1980,AUT,1,1,3,5,44,26.295454545454547,5,USSR,Summer,Moscow 1980,299.0,0
1984,los-angeles-1984,AUT,1,1,1,3,63,25.232876712328768,3,United States,Summer,Los Angeles 1984,304.0,0
1984,los-angeles-1984,AUT,1,1,1,3,63,25.232876712328768,1,United States,Summer,Los Angeles 1984,307.0,0
1984,sarajevo-1984,AUT,1,0,0,1,40,24.01851851851852,3,Yugoslavia,Winter,Sarajevo 1984,308.0,0
1984,sarajevo-1984,AUT,1,0,0,1,40,24.01851851851852,1,Yugoslavia,Winter,Sarajevo 1984,311.0,0
1988,calgary-1988,AUT,2,3,5,10,47,23.903614457831324,10,Canada,Winter,Calgary 1988,312.0,0
1988,calgary-1988,AUT,2,3,5,10,47,23.903614457831324,1,Canada,Winter,Calgary 1988,322.0,0
1988,seoul-1988,AUT,0,1,0,1,52,28.081967213114755,10,Republic of Korea,Summer,Seoul 1988,323.0,0
1988,seoul-1988,AUT,0,1,0,1,52,28.081967213114755,1,Republic of Korea,Summer,Seoul 1988,333.0,0
1992,albertville-1992,AUT,8,6,7,21,53,26.02247191011236,21,France,Winter,Albertville 1992,334.0,0
1992,albertville-1992,AUT,8,6,7,21,53,26.02247191011236,3,France,Winter,Albertville 1992,355.0,0
1992,barcelona-1992,AUT,0,0,3,3,51,25.735849056603772,21,Spain,Summer,Barcelona 1992,358.0,0
1992,barcelona-1992,AUT,0,0,3,3,51,25.735849056603772,3,Spain,Summer,Barcelona 1992,379.0,0
1994,lillehammer-1994,AUT,4,2,3,9,46,26.01298701298701,9,Norway,Winter,Lillehammer 1994,382.0,0
1996,atlanta-1996,AUT,2,0,1,3,42,26.76,3,United States,Summer,Atlanta 1996,391.0,0
1998,nagano-1998,AUT,9,3,5,17,64,27.074074074074073,17,Japan,Winter,Nagano 1998,394.0,0
2000,sydney-2000,AUT,0,3,1,4,52,26.112903225806452,4,Australia,Summer,Sydney 2000,411.0,0
2002,salt-lake-city-2002,AUT,10,3,4,17,60,28.356435643564357,17,United States,Winter,Salt Lake City 2002,415.0,0
2004,athens-2004,AUT,1,3,4,8,53,27.9,8,Greece,Summer,Athens 2004,432.0,0
2006,turin-2006,AUT,7,10,7,24,61,28.107843137254903,24,Italy,Winter,Turin 2006,440.0,0
2008,beijing-2008,AUT,2,0,1,3,45,27.413793103448278,3,China,Summer,Beijing 2008,464.0,0
2010,vancouver-2010,AUT,6,5,6,17,66,28.073394495412845,17,Canada,Winter,Vancouver 2010,467.0,0
2014,sochi-2014,AUT,5,4,9,18,85,27.655405405405407,18,Russian Federation,Winter,Sochi 2014,484.0,0
2016,rio-2016,AUT,2,0,0,2,47,27.35185185185185,2,Brazil,Summer,Rio 2016,502.0,0
2018,pyeongchang-2018,AUT,6,5,4,15,84,27.860294117647058,15,Republic of Korea,Winter,PyeongChang 2018,504.0,0
2020,tokyo-2020,AUT,5,1,1,7,51,29.90909090909091,7,Japan,Summer,Tokyo 2020,519.0,0
2022,beijing-2022,AUT,5,7,7,19,88,28.194244604316548,19,China,Winter,Beijing 2022,526.0,0
1996,atlanta-1996,AZE,0,0,1,1,19,25.083333333333332,1,United States,Summer,Atlanta 1996,545.0,0
2000,sydney-2000,AZE,1,2,0,3,27,28.133333333333333,3,Australia,Summer,Sydney 2000,1.0,0
2004,athens-2004,AZE,4,1,0,5,31,27.55,5,Greece,Summer,Athens 2004,4.0,0
2008,beijing-2008,AZE,4,1,1,6,35,25.416666666666668,6,China,Summer,Beijing 2008,9.0,0
2012,london-2012,AZE,6,2,2,10,47,25.0,10,Great Britain,Summer,London 2012,15.0,0
2016,rio-2016,AZE,10,1,7,18,50,27.285714285714285,18,Brazil,Summer,Rio 2016,25.0,0
2020,tokyo-2020,AZE,4,0,3,7,32,28.666666666666668,7,Japan,Summer,Tokyo 2020,43.0,0
1956,melbourne-1956,BAH,2,0,0,2,1,36.0,2,"Australia, Sweden",Summer,Melbourne 1956,50.0,0
1964,tokyo-1964,BAH,0,2,0,2,1,26.0,2,Japan,Summer,Tokyo 1964,2.0,0
1992,barcelona-1992,BAH,1,0,0,1,5,23.142857142857142,1,Spain,Summer,Barcelona 1992,4.0,0
1996,atlanta-1996,BAH,0,0,1,1,9,28.9,1,United States,Summer,Atlanta 1996,5.0,0
2000,sydney-2000,BAH,1,2,0,3,9,24.818181818181817,3,Australia,Summer,Sydney 2000,6.0,0
2004,athens-2004,BAH,1,1,0,2,8,25.6,2,Greece,Summer,Athens 2004,9.0,0
2008,beijing-2008,BAH,1,0,1,2,9,24.923076923076923,2,China,Summer,Beijing 2008,11.0,0
2012,london-2012,BAH,0,1,0,1,5,26.5,1,Great Britain,Summer,London 2012,13.0,0
2016,rio-2016,BAH,1,1,0,2,8,23.636363636363637,2,Brazil,Summer,Rio 2016,14.0,0
2020,tokyo-2020,BAH,0,2,0,2,3,25.5,2,Japan,Summer,Tokyo 2020,16.0,0
2000,sydney-2000,BAR,1,0,0,1,7,23.7,1,Australia,Summer,Sydney 2000,18.0,0
1996,atlanta-1996,BDI,0,1,0,1,3,29.25,1,United States,Summer,Atlanta 1996,1.0,0
2016,rio-2016,BDI,0,0,1,1,8,24.444444444444443,1,Brazil,Summer,Rio 2016,1.0,0
1900,paris-1900,BEL,4,5,7,16,32,29.2,16,France,Summer,Paris 1900,2.0,0
1908,london-1908,BEL,2,1,5,8,26,27.571428571428573,8,Great Britain,Summer,London 1908,16.0,0
1912,stockholm-1912,BEL,3,2,1,6,20,29.076923076923077,6,Sweden,Summer,Stockholm 1912,24.0,0
1920,antwerp-1920,BEL,11,14,11,36,102,33.794117647058826,36,Belgium,Summer,Antwerp 1920,30.0,1
1924,chamonix-1924,BEL,1,0,0,1,5,25.555555555555557,1,France,Winter,Chamonix 1924,66.0,0
1924,chamonix-1924,BEL,1,0,0,1,5,25.555555555555557,13,France,Winter,Chamonix 1924,67.0,0
1924,paris-1924,BEL,3,3,7,13,110,31.8,1,France,Summer,Paris 1924,80.0,0
1924,paris-1924,BEL,3,3,7,13,110,31.8,13,France,Summer,Paris 1924,81.0,0
1928,amsterdam-1928,BEL,2,0,1,3,73,26.08,3,Netherlands,Summer,Amsterdam 1928,94.0,0
1928,amsterdam-1928,BEL,2,0,1,3,73,26.08,1,Netherlands,Summer,Amsterdam 1928,97.0,0
1928,st-moritz-1928,BEL,1,0,0,1,3,19.0,3,Switzerland,Winter,St. Moritz 1928,98.0,0
1928,st-moritz-1928,BEL,1,0,0,1,3,19.0,1,Switzerland,Winter,St. Moritz 1928,101.0,0
1936,berlin-1936,BEL,2,0,0,2,51,27.11904761904762,2,Germany,Summer,Berlin 1936,102.0,0
1948,london-1948,BEL,3,2,2,7,54,27.6,7,Great Britain,Summer,London 1948,104.0,0
1948,london-1948,BEL,3,2,2,7,54,27.6,3,Great Britain,Summer,London 1948,111.0,0
1948,st-moritz-1948,BEL,0,2,1,3,4,25.285714285714285,7,Switzerland,Winter,St. Moritz 1948,114.0,0
1948,st-moritz-1948,BEL,0,2,1,3,4,25.285714285714285,3,Switzerland,Winter,St. Moritz 1948,121.0,0
1952,helsinki-1952,BEL,0,2,3,5,41,30.423728813559322,5,Finland,Summer,Helsinki 1952,124.0,0
1956,melbourne-1956,BEL,0,0,2,2,17,26.4,2,"Australia, Sweden",Summer,Melbourne 1956,129.0,0
1960,rome-1960,BEL,2,0,2,4,35,26.151515151515152,4,Italy,Summer,Rome 1960,131.0,0
1964,tokyo-1964,BEL,1,2,0,3,18,25.38888888888889,3,Japan,Summer,Tokyo 1964,135.0,0
1968,mexico-city-1968,BEL,2,0,1,3,25,24.64,3,Mexico,Summer,Mexico City 1968,138.0,0
1972,munich-1972,BEL,0,0,2,2,37,27.11111111111111,2,Federal Republic of Germany,Summer,Munich 1972,141.0,0
1976,montreal-1976,BEL,3,0,3,6,41,25.3953488372093,6,Canada,Summer,Montreal 1976,143.0,0
1980,moscow-1980,BEL,0,1,0,1,30,25.705882352941178,1,USSR,Summer,Moscow 1980,149.0,0
1984,los-angeles-1984,BEL,2,1,2,5,42,24.829787234042552,5,United States,Summer,Los Angeles 1984,150.0,0
1988,seoul-1988,BEL,2,0,0,2,43,25.36842105263158,2,Republic of Korea,Summer,Seoul 1988,155.0,0
1992,barcelona-1992,BEL,2,0,1,3,49,24.892307692307693,3,Spain,Summer,Barcelona 1992,157.0,0
1996,atlanta-1996,BEL,2,2,2,6,45,27.625,6,United States,Summer,Atlanta 1996,160.0,0
1998,nagano-1998,BEL,1,0,0,1,1,31.0,1,Japan,Winter,Nagano 1998,166.0,0
2000,sydney-2000,BEL,4,0,3,7,48,27.49056603773585,7,Australia,Summer,Sydney 2000,167.0,0
2004,athens-2004,BEL,2,1,0,3,36,30.605263157894736,3,Greece,Summer,Athens 2004,174.0,0
2008,beijing-2008,BEL,0,2,0,2,34,26.7027027027027,2,China,Summer,Beijing 2008,177.0,0
2012,london-2012,BEL,2,0,1,3,62,30.16923076923077,3,Great Britain,Summer,London 2012,179.0,0
2016,rio-2016,BEL,2,2,2,6,68,27.18918918918919,6,Brazil,Summer,Rio 2016,182.0,0
2018,pyeongchang-2018,BEL,0,0,1,1,18,25.05128205128205,1,Republic of Korea,Winter,PyeongChang 2018,188.0,0
2020,tokyo-2020,BEL,3,3,1,7,58,27.396825396825395,7,Japan,Summer,Tokyo 2020,189.0,0
2022,beijing-2022,BEL,1,1,0,2,17,26.871794871794872,2,China,Winter,Beijing 2022,196.0,0
1976,montreal-1976,BER,1,0,0,1,4,32.0,1,Canada,Summer,Montreal 1976,198.0,0
2020,tokyo-2020,BER,0,1,0,1,2,30.0,1,Japan,Summer,Tokyo 2020,1.0,0
1994,lillehammer-1994,BLR,0,0,2,2,29,24.575,2,Norway,Winter,Lillehammer 1994,2.0,0
1996,atlanta-1996,BLR,8,1,6,15,109,26.00943396226415,15,United States,Summer,Atlanta 1996,2.0,0
1998,nagano-1998,BLR,2,0,0,2,34,28.5531914893617,2,Japan,Winter,Nagano 1998,17.0,0
2000,sydney-2000,BLR,11,3,3,17,91,27.325581395348838,17,Australia,Summer,Sydney 2000,19.0,0
2002,salt-lake-city-2002,BLR,1,0,0,1,40,26.589285714285715,1,United States,Winter,Salt Lake City 2002,36.0,0
2004,athens-2004,BLR,8,2,5,15,92,27.428571428571427,15,Greece,Summer,Athens 2004,37.0,0
2006,turin-2006,BLR,0,0,1,1,28,29.520833333333332,1,Italy,Winter,Turin 2006,52.0,0
2008,beijing-2008,BLR,9,4,4,17,105,28.09722222222222,17,China,Summer,Beijing 2008,53.0,0
2010,vancouver-2010,BLR,1,1,1,3,25,29.163265306122447,3,Canada,Winter,Vancouver 2010,70.0,0
2012,london-2012,BLR,3,3,7,13,102,28.634615384615383,13,Great Britain,Summer,London 2012,73.0,0
2014,sochi-2014,BLR,1,5,0,6,26,29.641509433962263,6,Russian Federation,Winter,Sochi 2014,86.0,0
2016,rio-2016,BLR,4,1,4,9,68,29.194444444444443,9,Brazil,Summer,Rio 2016,92.0,0
2018,pyeongchang-2018,BLR,0,2,1,3,31,29.152542372881356,3,Republic of Korea,Winter,PyeongChang 2018,101.0,0
2020,tokyo-2020,BLR,3,1,3,7,60,29.125,7,Japan,Summer,Tokyo 2020,104.0,0
2022,beijing-2022,BLR,0,0,2,2,25,26.20754716981132,2,China,Winter,Beijing 2022,111.0,0
1900,paris-1900,BOH,1,0,1,2,7,22.0,2,France,Summer,Paris 1900,113.0,0
1908,london-1908,BOH,2,0,0,2,15,26.333333333333332,2,Great Britain,Summer,London 1908,2.0,0
2012,london-2012,BOT,0,0,1,1,3,23.0,1,Great Britain,Summer,London 2012,4.0,0
2020,tokyo-2020,BOT,1,0,0,1,4,26.75,1,Japan,Summer,Tokyo 2020,1.0,0
1920,antwerp-1920,BRA,1,1,1,3,8,42.4,3,Belgium,Summer,Antwerp 1920,2.0,0
1948,london-1948,BRA,1,0,0,1,30,31.2,1,Great Britain,Summer,London 1948,3.0,0
1952,helsinki-1952,BRA,2,1,0,3,37,30.235294117647058,3,Finland,Summer,Helsinki 1952,4.0,0
1956,melbourne-1956,BRA,0,1,0,1,20,27.88888888888889,1,"Australia, Sweden",Summer,Melbourne 1956,7.0,0
1960,rome-1960,BRA,2,0,0,2,22,30.9,2,Italy,Summer,Rome 1960,8.0,0
1964,tokyo-1964,BRA,1,0,0,1,8,24.875,1,Japan,Summer,Tokyo 1964,10.0,0
1968,mexico-city-1968,BRA,3,0,1,4,17,27.823529411764707,4,Mexico,Summer,Mexico City 1968,11.0,0
1972,munich-1972,BRA,2,0,0,2,20,30.63157894736842,2,Federal Republic of Germany,Summer,Munich 1972,15.0,0
1976,montreal-1976,BRA,3,0,0,3,25,25.73076923076923,3,Canada,Summer,Montreal 1976,17.0,0
1980,moscow-1980,BRA,2,4,0,6,35,25.9,6,USSR,Summer,Moscow 1980,20.0,0
1984,los-angeles-1984,BRA,2,1,5,8,37,25.90909090909091,8,United States,Summer,Los Angeles 1984,26.0,0
1988,seoul-1988,BRA,5,1,2,8,69,24.435294117647057,8,Republic of Korea,Summer,Seoul 1988,34.0,0
1992,barcelona-1992,BRA,0,2,1,3,76,25.649350649350648,3,Spain,Summer,Barcelona 1992,42.0,0
1996,atlanta-1996,BRA,10,5,4,19,61,25.26865671641791,19,United States,Summer,Atlanta 1996,45.0,0
